# M=26, N=13, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=0.0, Vnum=201, PBC
# start time 2022-10-16 02:17:39
#                       V#                 S1(n=1)#                 S2(n=1)                 S3(n=1)#                 S4(n=1)#                 S5(n=1)#                 S6(n=1)#                 S7(n=1)#                 S8(n=1)#                 S9(n=1)#                S10(n=1)#               S1/2(n=1)#               Sinf(n=1)
     -2.300000000000E-01      7.348480488974E-03      1.960180497556E-03      1.470856748561E-03      1.306817939103E-03      1.224568164043E-03      1.175035119657E-03      1.141860606718E-03      1.118033966644E-03      1.100049870144E-03      1.085960912062E-03      5.371083902567E-02      1.065750532039E-04
     -2.400000000000E-01      7.925082381261E-03      2.139079294331E-03      1.605168632306E-03      1.426088364480E-03      1.336273185153E-03      1.282165495627E-03      1.245911767937E-03      1.219860487581E-03      1.200185897309E-03      1.184762576428E-03      5.601222495876E-02      1.153065244384E-04
     -2.500000000000E-01      8.520173896597E-03      2.326220700384E-03      1.745681720559E-03      1.550854204031E-03      1.453114326295E-03      1.394211378320E-03      1.354727175626E-03      1.326339635621E-03      1.304887717008E-03      1.288059730181E-03      5.831089151563E-02      1.243151561447E-04
     -2.600000000000E-01      9.133545095683E-03      2.521660290646E-03      1.892439495290E-03      1.681152490651E-03      1.575124767974E-03      1.511203150301E-03      1.468334944130E-03      1.437497561647E-03      1.414179708942E-03      1.395875111623E-03      6.060685054278E-02      1.335932064395E-04
     -2.700000000000E-01      9.764996314455E-03      2.725454179429E-03      2.045485938786E-03      1.817020610316E-03      1.702337932747E-03      1.633171341919E-03      1.586763250072E-03      1.553360398629E-03      1.528086158290E-03      1.508231290563E-03      6.290011395711E-02      1.431329297468E-04
     -2.800000000000E-01      1.041433720007E-02      2.937658963588E-03      2.204865493077E-03      1.958496263753E-03      1.834787446859E-03      1.760146592234E-03      1.710040292273E-03      1.673954220398E-03      1.646631213295E-03      1.625150624691E-03      6.519069344255E-02      1.529265844571E-04
     -2.900000000000E-01      1.108138616489E-02      3.158331788748E-03      2.370623111888E-03      2.105617510142E-03      1.972507178556E-03      1.892159683332E-03      1.838194322820E-03      1.799305069928E-03      1.769838911073E-03      1.746655283164E-03      6.747860079565E-02      1.629664261276E-04
     -3.000000000000E-01      1.176596964614E-02      3.387530313220E-03      2.542804235710E-03      2.258422742551E-03      2.115531212453E-03      2.029241513323E-03      1.971253618584E-03      1.929438929360E-03      1.897733146163E-03      1.872767213723E-03      6.976384770290E-02      1.732447142775E-04
     -3.100000000000E-01      1.246792161312E-02      3.625312741242E-03      2.721454819042E-03      2.416950709609E-03      2.263893867088E-03      2.171423110646E-03      2.109246492764E-03      2.064381729107E-03      2.030337677426E-03      2.003508147582E-03      7.204644588028E-02      1.837537180718E-04
     -3.200000000000E-01      1.318708285902E-02      3.871737750551E-03      2.906621278346E-03      2.581240466954E-03      2.417629646862E-03      2.318735585598E-03      2.252201245623E-03      2.204159297605E-03      2.167676076753E-03      2.138899547066E-03      7.432640672403E-02      1.944856931813E-04
     -3.300000000000E-01      1.392330085769E-02      4.126864621364E-03      3.098350591285E-03      2.751331462495E-03      2.576773318793E-03      2.471210201079E-03      2.400146230535E-03      2.348797423476E-03      2.309771787875E-03      2.278962661476E-03      7.660374193012E-02      2.054329014514E-04
     -3.400000000000E-01      1.467642903337E-02      4.390753116251E-03      3.296690208913E-03      2.927263456142E-03      2.741359834725E-03      2.628878295614E-03      2.553109777049E-03      2.498321778241E-03      2.456648048526E-03      2.423718448607E-03      7.887846287449E-02      2.165876093376E-04
     -3.500000000000E-01      1.544632664636E-02      4.663463592004E-03      3.501688142227E-03      3.109076593699E-03      2.911424397285E-03      2.791771343611E-03      2.711120246651E-03      2.652757968322E-03      2.608327939198E-03      2.573187620641E-03      8.115058120281E-02      2.279421067111E-04
