# M=8, N=4, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 12:14:56
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      3.097698478293E-01      1.683563434212E-01      1.283778602479E-01      1.100679021921E-01      9.877109207464E-02      9.036455974234E-02      8.337044433474E-02      7.715994781081E-02      7.143367606236E-02      6.604002851283E-02      5.851030118207E-01
     -1.650000000000E+00      2.758256108706E-01      1.447893192570E-01      1.102641132180E-01      9.518416064246E-02      8.619311345374E-02      7.968844339300E-02      7.439739122242E-02      6.977496979572E-02      6.555551110383E-02      6.159859037106E-02      5.456409428148E-01
     -1.000000000000E+00      1.079445960945E-01      4.396466260066E-02      3.317770971122E-02      2.930439154146E-02      2.728851379471E-02      2.601726833666E-02      2.511733455136E-02      2.442866407655E-02      2.387123729087E-02      2.340060561039E-02      3.094480512932E-01
     -5.000000000000E-01      3.134551985220E-02      9.796490123136E-03      7.358831170888E-03      6.533753201509E-03      6.118339710924E-03      5.866813247499E-03      5.697221777449E-03      5.574442856783E-03      5.480915259532E-03      5.406882746545E-03      1.548099300060E-01
      5.000000000000E-01      2.736861115875E-02      8.292824042510E-03      6.229387342959E-03      5.533766738764E-03      5.184612451096E-03      4.974059430980E-03      4.832804505875E-03      4.731146250060E-03      4.654233949650E-03      4.593817207445E-03      1.463676124558E-01
      1.650000000000E+00      1.743405650586E-01      8.026694624864E-02      6.128361342171E-02      5.430774836056E-02      5.072169115685E-02      4.850525254946E-02      4.697330950681E-02      4.583174780829E-02      4.493349542037E-02      4.419685218534E-02      4.108987377167E-01
      1.750000000000E+00      1.895475298383E-01      8.955914313088E-02      6.853762489852E-02      6.073125522065E-02      5.670712223745E-02      5.421486533872E-02      5.248831332746E-02      5.119835895344E-02      5.018042235556E-02      4.934308029241E-02      4.297808976818E-01


 Calculation finished at  2022-05-13 12:15:22
