# M=22, N=11, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 12:26:43
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      4.939966312279E-01      3.046817763288E-01      2.288089235542E-01      1.834279424246E-01      1.484096788941E-01      1.169402321533E-01      8.643213045658E-02      5.614462787692E-02      2.628795502514E-02     -2.520638866971E-03      7.507372628551E-01
     -1.650000000000E+00      4.406218297954E-01      2.623649966475E-01      1.986295340701E-01      1.640103635101E-01      1.393801738648E-01      1.185987396383E-01      9.921788928121E-02      8.016790253436E-02      6.104299518464E-02      4.182373648793E-02      7.039333643638E-01
     -1.000000000000E+00      1.770152999584E-01      7.930445153005E-02      5.999398530569E-02      5.265672547337E-02      4.869489796330E-02      4.609820633455E-02      4.418333458535E-02      4.265663435637E-02      4.137111799414E-02      4.024499863434E-02      4.262040420075E-01
     -5.000000000000E-01      5.196316167990E-02      1.739684033946E-02      1.307610889679E-02      1.159676549388E-02      1.084680622638E-02      1.038877180840E-02      1.007670010394E-02      9.848034442630E-03      9.671496514758E-03      9.529709516814E-03      2.166001345495E-01
      5.000000000000E-01      4.420295029474E-02      1.414879074859E-02      1.063314895989E-02      9.438976875099E-03      8.836958229756E-03      8.471887118588E-03      8.225293743367E-03      8.046404818793E-03      7.909833737092E-03      7.801476862278E-03      2.022814168455E-01
      1.650000000000E+00      2.684138960542E-01      1.311569841919E-01      1.005441076824E-01      8.868424148448E-02      8.237546682573E-02      7.834616952405E-02      7.546485056809E-02      7.324360406591E-02      7.143831742871E-02      6.991341694506E-02      5.583434904574E-01
      1.750000000000E+00      2.910369009076E-01      1.459745893429E-01      1.122284453638E-01      9.895283385850E-02      9.184636500466E-02      8.728779210720E-02      8.401511385361E-02      8.148300256628E-02      7.941848935993E-02      7.766996070412E-02      5.836720843707E-01
 #Calculation finished at  2022-05-13 12:32:02
