# M=80, N=40, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vnum=81, PBC
# start time 2022-02-17 06:39:32
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -5.000000000000E-02      5.014132836894E-04      9.572462447283E-05      7.179518656519E-05      6.381620515405E-05      5.982606232502E-05      5.743145511294E-05      5.583461574643E-05      5.469364375088E-05      5.383758889055E-05      5.317147881057E-05      1.208154880605E-02
     -1.000000000000E-01      1.756559645788E-03      3.871247776974E-04      2.903716903258E-04      2.580794636979E-04      2.419225723882E-04      2.322198275464E-04      2.257441584006E-04      2.211125346139E-04      2.176334410193E-04      2.149227025221E-04      2.408447048001E-02
     -1.500000000000E-01      3.632766342857E-03      8.807315866828E-04      6.606942169847E-04      5.871337984451E-04      5.502971985232E-04      5.281502728276E-04      5.133482137420E-04      5.027432464364E-04      4.947614834814E-04      4.885285429590E-04      3.601020499287E-02
     -2.000000000000E-01      6.064076993871E-03      1.583333535731E-03      1.187970700709E-03      1.055485027253E-03      9.890579095488E-04      9.490550751714E-04      9.222645570350E-04      9.030240820578E-04      8.885025135488E-04      8.771269976604E-04      4.786011010861E-02
     -2.500000000000E-01      9.006806047862E-03      2.501978096368E-03      1.877659263614E-03      1.667799199810E-03      1.562403742079E-03      1.498797555335E-03      1.456086706500E-03      1.425316643525E-03      1.402010089415E-03      1.383679667229E-03      5.963547071115E-02
     -3.000000000000E-01      1.242878887036E-02      3.643972048569E-03      2.735474824749E-03      2.428900216398E-03      2.274614033732E-03      2.181253905280E-03      2.118359019022E-03      2.072874698940E-03      2.038273602460E-03      2.010929424288E-03      7.133750333296E-02
     -3.500000000000E-01      1.630488170871E-02      5.016880285309E-03      3.767395256370E-03      3.343766584743E-03      3.130036058900E-03      3.000292898848E-03      2.912549328149E-03      2.848810431987E-03      2.800078735734E-03      2.761355628063E-03      8.296736169756E-02
     -4.000000000000E-01      2.061463422486E-02      6.628522806032E-03      4.979666922648E-03      4.417527243007E-03      4.133070995086E-03      3.959753438761E-03      3.842019161401E-03      3.756058228420E-03      3.689965617293E-03      3.637127381540E-03      9.452614302071E-02
     -4.500000000000E-01      2.534092573591E-02      8.486969502326E-03      6.378809360615E-03      5.655456345212E-03      5.288158143178E-03      5.063419921077E-03      4.909991626362E-03      4.797336243284E-03      4.710185107243E-03      4.640055501415E-03      1.060148950485E-01
     -5.000000000000E-01      3.046909580756E-02      1.060053240757E-02      7.971618915080E-03      7.062966995552E-03      6.599757443819E-03      6.314995544650E-03      6.119517236131E-03      5.975106213822E-03      5.862653921781E-03      5.771544179381E-03      1.174346243416E-01
     -5.500000000000E-01      3.598635464505E-02      1.297775499953E-02      9.765171076427E-03      8.645603916102E-03      8.072330375290E-03      7.718073774633E-03      7.473438068783E-03      7.291532153209E-03      7.148909514053E-03      7.032543573471E-03      1.287863059987E-01
     -6.000000000000E-01      4.188136344085E-02      1.562739793534E-02      1.176682111127E-02      1.040903496139E-02      9.710319314779E-03      9.276108218832E-03      8.974350759079E-03      8.748438717553E-03      8.570065839009E-03      8.423504818044E-03      1.400708949795E-01
     -6.500000000000E-01      4.814392476910E-02      1.855842105191E-02      1.398420290830E-02      1.235904176187E-02      1.151812586002E-02      1.099238162838E-02      1.062456931245E-02      1.034727056863E-02      1.012677169086E-02      9.944339521436E-03      1.512893404707E-01
     -7.000000000000E-01      5.476474701875E-02      2.177996103268E-02      1.642522564173E-02      1.450150960102E-02      1.350008854808E-02      1.286997475802E-02      1.242608882530E-02      1.208905420697E-02      1.181917349490E-02      1.159438603195E-02      1.624426024547E-01
     -7.500000000000E-01      6.173526087779E-02      2.530130406116E-02      1.909806776902E-02      1.684241666400E-02      1.566046055566E-02      1.491173604474E-02      1.438055147397E-02      1.397436406328E-02      1.364688475871E-02      1.337238505425E-02      1.735316725998E-01
     -8.000000000000E-01      6.904747527700E-02      2.913185383769E-02      2.201116868266E-02      1.938782363312E-02      1.800338888584E-02      1.712025403651E-02      1.648921713307E-02      1.600329563437E-02      1.560896535152E-02      1.527646808779E-02      1.845575999916E-01
     -8.500000000000E-01      7.669386358405E-02      3.328109433253E-02      2.517321755450E-02      2.214386407252E-02      2.053289623242E-02      1.949783432146E-02      1.875294087103E-02      1.817544835097E-02      1.770391364308E-02      1.730416192591E-02      1.955215235967E-01
     -9.000000000000E-01      8.466727485347E-02      3.775854729921E-02      2.859313940556E-02      2.511673666206E-02      2.325286750117E-02      2.204648359131E-02      2.117216047121E-02      2.048992171770E-02      1.992967527342E-02      1.945241301965E-02      2.064247123373E-01
