# M=50, N=25, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=6034250377451287608, PBC
# start time 2022-05-17 20:09:32
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.079587650028E-01      3.131987154200E-01      2.312634541615E-01      1.778766865637E-01      1.297074270565E-01      7.665434659470E-02      1.557112255316E-02     -5.029505060780E-02     -1.147461174089E-01     -1.731860910781E-01      7.659562513992E-01
     -1.650000000000E+00      4.688369625746E-01      2.884639468297E-01      2.204689873833E-01      1.816643537392E-01      1.519088909705E-01      1.234995110536E-01      9.242890354412E-02      5.681764762981E-02      1.698273533893E-02     -2.490927905196E-02      7.243120031164E-01
     -1.000000000000E+00      1.948261275112E-01      9.024921596632E-02      6.841441858401E-02      5.991998144304E-02      5.528202714092E-02      5.222007894226E-02      4.995136161839E-02      4.813826640164E-02      4.661124926097E-02      4.527548663210E-02      4.470532153013E-01
     -5.000000000000E-01      5.795535283900E-02      1.992583901945E-02      1.498180389336E-02      1.327826513260E-02      1.241137497092E-02      1.187951885178E-02      1.151523611473E-02      1.124675401363E-02      1.103818592803E-02      1.086959466638E-02      2.290309804662E-01
      0.000000000000E+00      1.267379305503E-06      1.406160601292E-07      1.054620470953E-07      9.374404186246E-08      8.788503969015E-08      8.436963838676E-08      8.202603574148E-08      8.035203524770E-08      7.909653554350E-08      7.812003488539E-08      7.793631003432E-04
      5.000000000000E-01      4.917857644182E-02      1.608663491028E-02      1.209096875370E-02      1.072768733922E-02      1.003836721848E-02      9.618798967764E-03      9.334131144635E-03      9.126569018431E-03      8.967215203809E-03      8.840015591445E-03      2.140853785890E-01
      1.650000000000E+00      2.948087365222E-01      1.465034527246E-01      1.122718727649E-01      9.869751302595E-02      9.134348653538E-02      8.657231571178E-02      8.311394524232E-02      8.041830593789E-02      7.820941519714E-02      7.633352241073E-02      5.908427601675E-01
      1.750000000000E+00      3.196054291926E-01      1.628394406806E-01      1.251297854125E-01      1.099308364851E-01      1.016350746257E-01      9.622704786451E-02      9.229249341557E-02      8.921685557642E-02      8.669133578955E-02      8.454369571894E-02      6.180823940162E-01


 Calculation finished at  2022-05-18 21:32:02
