# M=42, N=21, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 17:19:18
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.208138391829E-01      3.315524575672E-01      2.515448702085E-01      1.999941568724E-01      1.549484736067E-01      1.074494949426E-01      5.442032596605E-02     -2.479747845732E-03     -5.898927176842E-02     -1.113317548981E-01      7.680683802990E-01
     -1.650000000000E+00      4.654045079996E-01      2.850513540144E-01      2.173923954272E-01      1.789784427034E-01      1.499087200828E-01      1.229040105078E-01      9.444130173529E-02      6.289461760825E-02      2.827273547599E-02     -8.063150387946E-03      7.220675398051E-01
     -1.000000000000E+00      1.923565932450E-01      8.866546016415E-02      6.719078904864E-02      5.886807552013E-02      5.433140459611E-02      5.133870642884E-02      4.912176727313E-02      4.734950583881E-02      4.585576757656E-02      4.454772022561E-02      4.443497983931E-01
     -5.000000000000E-01      5.708852929206E-02      1.954703395653E-02      1.469625676213E-02      1.302673629735E-02      1.217774218263E-02      1.165728958996E-02      1.130115063710E-02      1.103893864904E-02      1.083546013621E-02      1.067116305651E-02      2.273569281709E-01
      5.000000000000E-01      4.845459229144E-02      1.579598440890E-02      1.187231990968E-02      1.053467444109E-02      9.858688080511E-03      9.447515608318E-03      9.168769701749E-03      8.965711862763E-03      8.809972847155E-03      8.685791977412E-03      2.124785658316E-01
      1.650000000000E+00      2.910537274234E-01      1.442880655551E-01      1.105870260139E-01      9.727344758475E-02      9.008207814971E-02      8.542761490972E-02      8.206027911129E-02      7.943928777378E-02      7.729351015648E-02      7.547202194528E-02      5.863782487389E-01
      1.750000000000E+00      3.155350021046E-01      1.604133455481E-01      1.232855109203E-01      1.083787424038E-01      1.002676224197E-01      9.499268104976E-02      9.116187085262E-02      8.817099308944E-02      8.571673920576E-02      8.363011309858E-02      6.133283441243E-01
 #Calculation finished at  2022-05-13 21:39:18
