# M=38, N=19, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-18 01:27:08
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.155708291321E-01      3.250696005290E-01      2.449702227096E-01      1.937784352065E-01      1.498542896160E-01      1.047131944006E-01      5.539930197050E-02      2.978810468766E-03     -4.921122540671E-02     -9.797089771149E-02      7.661804388720E-01
     -1.650000000000E+00      4.629945451930E-01      2.827081338040E-01      2.153379434712E-01      1.772425818556E-01      1.486515292670E-01      1.225031324607E-01      9.550752532161E-02      6.616038233571E-02      3.434304865916E-02      1.052908216407E-03      7.204470644400E-01
     -1.000000000000E+00      1.906898152593E-01      8.760993532488E-02      6.637632780997E-02      5.816707553165E-02      5.369712784477E-02      5.075018574541E-02      4.856770455996E-02      4.682291538423E-02      4.535189436522E-02      4.406311350704E-02      4.424909499828E-01
     -5.000000000000E-01      5.651169589630E-02      1.929770022786E-02      1.450832488156E-02      1.286109025219E-02      1.202378334218E-02      1.151075316181E-02      1.115989667530E-02      1.090173818148E-02      1.070153972313E-02      1.054000236808E-02      2.262194352582E-01
      5.000000000000E-01      4.797373289063E-02      1.560479229317E-02      1.172848853098E-02      1.040764199526E-02      9.740369695387E-03      9.334667357184E-03      9.059766892920E-03      8.859623861600E-03      8.706216058473E-03      8.583975614415E-03      2.113902976556E-01
      1.650000000000E+00      2.885388738254E-01      1.428104348342E-01      1.094614155081E-01      9.631883093267E-02      8.923337861634E-02      8.465470790458E-02      8.134649616399E-02      7.877407350924E-02      7.666947908673E-02      7.488362013463E-02      5.833604312383E-01
      1.750000000000E+00      3.128102113923E-01      1.587931824216E-01      1.220512496071E-01      1.073362017182E-01      9.934546796188E-02      9.415712662297E-02      9.039388632931E-02      8.745836168754E-02      8.505082232670E-02      8.300436529354E-02      6.101207577149E-01
 #Calculation finished at  2022-05-18 03:31:52
