# M=44, N=22, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vnum=81, PBC
# start time 2022-02-15 04:18:14
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -5.000000000000E-02      4.900870835924E-04      9.310672918295E-05      6.983167240016E-05      6.207110013268E-05      5.819025224385E-05      5.586129424762E-05      5.430828122233E-05      5.319866534492E-05      5.236617270343E-05      5.171842890217E-05      1.198086139995E-02
     -1.000000000000E-01      1.717979974640E-03      3.764931585351E-04      2.823964531551E-04      2.509943377307E-04      2.352839941069E-04      2.258503687083E-04      2.195551040871E-04      2.150531899057E-04      2.116721209946E-04      2.090382833702E-04      2.388508166169E-02
     -1.500000000000E-01      3.554621227252E-03      8.564617174320E-04      6.424839029013E-04      5.709675728927E-04      5.351608102502E-04      5.136379876074E-04      4.992571549320E-04      4.889574764073E-04      4.812085341186E-04      4.751600958874E-04      3.571420569611E-02
     -2.000000000000E-01      5.935928712001E-03      1.539590788874E-03      1.155137987020E-03      1.026367775141E-03      9.618237904587E-04      9.229709599499E-04      8.969638248875E-04      8.782971877146E-04      8.642184496033E-04      8.531983889370E-04      4.746970771333E-02
     -2.500000000000E-01      8.819543926762E-03      2.432740953782E-03      1.825667185894E-03      1.621753106128E-03      1.519394578683E-03      1.457660914515E-03      1.416240159167E-03      1.386427183254E-03      1.363869421743E-03      1.346148782663E-03      5.915299877482E-02
     -3.000000000000E-01      1.217436938154E-02      3.543060618559E-03      2.659654776853E-03      2.361864572181E-03      2.212107219656E-03      2.121571247935E-03      2.060647475245E-03      2.016646224725E-03      1.983222656305E-03      1.956851857491E-03      7.076543218605E-02
     -3.500000000000E-01      1.597618952063E-02      4.877990941072E-03      3.662969287663E-03      3.251627244837E-03      3.044300739874E-03      2.918602150205E-03      2.833721553249E-03      2.772168882148E-03      2.725199097126E-03      2.687953837661E-03      8.230831031923E-02
     -4.000000000000E-01      2.020540656163E-02      6.445269668011E-03      4.841774899735E-03      4.296150866772E-03      4.020410236307E-03      3.852673464310E-03      3.738948174678E-03      3.656094469415E-03      3.592542378566E-03      3.541864124621E-03      9.378289131666E-02
     -4.500000000000E-01      2.484571505014E-02      8.252933712251E-03      6.202541746163E-03      5.500729830800E-03      5.144956416610E-03      4.927705313928E-03      4.779735979502E-03      4.671373057637E-03      4.587778809116E-03      4.520709998618E-03      1.051903969999E-01
     -5.000000000000E-01      2.988325810966E-02      1.030932021916E-02      7.752055995015E-03      6.870842498772E-03      6.422533531246E-03      6.147596448366E-03      5.959386654062E-03      5.820768691787E-03      5.713174669950E-03      5.626288971655E-03      1.165320221977E-01
     -5.500000000000E-01      3.530605614903E-02      1.262306562323E-02      9.497429427153E-03      8.412149706770E-03      7.857795553130E-03      7.516200201662E-03      7.281062449926E-03      7.106819971398E-03      6.970691200666E-03      6.860019420552E-03      1.278089453101E-01
     -6.000000000000E-01      4.110360158053E-02      1.520310238566E-02      1.144610836189E-02      1.013049247831E-02      9.455440660306E-03      9.037298189358E-03      8.747751298504E-03      8.531798468140E-03      8.361938010139E-03      8.222890550946E-03      1.390223404270E-01
     -6.500000000000E-01      4.726656102890E-02      1.805865330548E-02      1.360588194485E-02      1.203188917034E-02      1.122019431627E-02      1.071457214084E-02      1.036223010662E-02      1.009766582820E-02      9.888126084159E-03      9.715413235056E-03      1.501733932405E-01
     -7.000000000000E-01      5.378654888233E-02      2.119922217782E-02      1.598488896319E-02      1.412253161759E-02      1.315679070985E-02      1.255157382990E-02      1.212702647637E-02      1.180603015788E-02      1.155002140014E-02      1.133757318388E-02      1.612633175759E-01
     -7.500000000000E-01      6.065595279653E-02      2.463458133295E-02      1.859162368956E-02      1.640878110536E-02      1.526995357365E-02      1.455169433054E-02      1.404438038129E-02      1.365810361331E-02      1.334790151432E-02      1.308878929184E-02      1.722933783163E-01
     -8.000000000000E-01      6.786779640547E-02      2.837475498857E-02      2.143494004248E-02      1.889716406920E-02      1.756437667096E-02      1.671813324379E-02      1.611620687595E-02      1.565466277042E-02      1.528151723062E-02      1.496787979553E-02      1.832649173051E-01
     -8.500000000000E-01      7.541563128703E-02      3.242999830193E-02      2.452405407509E-02      2.159436821767E-02      2.004470514704E-02      1.905386953184E-02      1.834406197808E-02      1.779601446933E-02      1.735006260788E-02      1.697304002677E-02      1.941793851623E-01
     -9.000000000000E-01      8.329345299609E-02      3.681077174072E-02      2.786854459014E-02      2.450723976615E-02      2.271551913067E-02      2.156163592135E-02      2.072911428106E-02      2.008197030095E-02      1.955215704222E-02      1.910183596976E-02      2.050383825409E-01
