# M=50, N=25, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vnum=81, PBC
# start time 2022-02-16 01:30:13
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -5.000000000000E-02      4.931302704447E-04      9.380407137183E-05      7.035470348260E-05      6.253595821315E-05      5.862600190065E-05      5.627956132281E-05      5.471487863984E-05      5.359691477747E-05      5.275815019790E-05      5.210551849233E-05      1.200880608531E-02
     -1.000000000000E-01      1.728364539406E-03      3.793257222764E-04      2.845212775324E-04      2.528821063064E-04      2.370528727322E-04      2.275476243665E-04      2.212043704417E-04      2.166679720572E-04      2.132608597587E-04      2.106066060734E-04      2.394046285011E-02
     -1.500000000000E-01      3.575687757233E-03      8.629298791769E-04      6.473371112485E-04      5.752765060367E-04      5.391957140084E-04      5.175069679386E-04      5.030142668891E-04      4.926336103588E-04      4.848229980903E-04      4.787257632679E-04      3.579649038856E-02
     -2.000000000000E-01      5.970524859767E-03      1.551253551925E-03      1.163891828729E-03      1.034132600872E-03      9.690879378699E-04      9.299298088794E-04      9.037150774995E-04      8.848966842065E-04      8.707010991702E-04      8.595874724242E-04      4.757833498575E-02
     -2.500000000000E-01      8.870171180540E-03      2.451211046211E-03      1.839536710433E-03      1.634040469338E-03      1.530875317647E-03      1.468645422265E-03      1.426883681339E-03      1.396818473073E-03      1.374063986109E-03      1.356183658198E-03      5.928737756306E-02
     -3.000000000000E-01      1.224325327288E-02      3.569998351017E-03      2.679894131205E-03      2.379767521802E-03      2.228808718330E-03      2.137525831766E-03      2.076082566618E-03      2.031691908512E-03      1.997960348083E-03      1.971335933876E-03      7.092493864788E-02
     -3.500000000000E-01      1.606531748210E-02      4.915096580906E-03      3.690866986192E-03      3.276258623629E-03      3.067235437311E-03      2.940469477706E-03      2.854836576192E-03      2.792711977917E-03      2.745283297105E-03      2.707654757083E-03      8.249228439039E-02
     -4.000000000000E-01      2.031654906326E-02      6.494274238780E-03      4.878647994756E-03      4.328635574184E-03      4.050589044018E-03      3.881382741629E-03      3.766607067421E-03      3.682943279204E-03      3.618731978553E-03      3.567495700156E-03      9.399063370627E-02
     -4.500000000000E-01      2.498043641927E-02      8.315587891150E-03      6.249728646459E-03      5.542195784539E-03      5.183377540318E-03      4.964159159052E-03      4.814763373854E-03      4.705284712330E-03      4.620770359068E-03      4.552913132855E-03      1.054211657223E-01
     -5.000000000000E-01      3.004292048493E-02      1.038738108718E-02      7.810907736388E-03      6.922410191653E-03      6.470169866908E-03      6.192656369508E-03      6.002551698489E-03      5.862431569590E-03      5.753583632032E-03      5.665611977154E-03      1.167850286736E-01
     -5.500000000000E-01      3.549181861904E-02      1.271828106920E-02      9.569299227820E-03      8.474920302725E-03      7.915580676350E-03      7.570670783012E-03      7.333061539676E-03      7.156835305718E-03      7.019032752295E-03      6.906898320262E-03      1.280833506178E-01
     -6.000000000000E-01      4.131641528874E-02      1.531719271982E-02      1.153233910523E-02      1.020553425484E-02      9.524253332114E-03      9.101910023257E-03      8.809189881745E-03      8.590661456326E-03      8.418607859343E-03      8.277629979720E-03      1.393172508353E-01
     -6.500000000000E-01      4.750716110394E-02      1.819328978263E-02      1.370779132749E-02      1.212022223147E-02      1.130084157097E-02      1.078996371084E-02      1.043360392245E-02      1.016574675874E-02      9.953381981926E-03      9.778168794413E-03      1.504878554809E-01
     -7.000000000000E-01      5.405544365279E-02      2.135600208938E-02      1.610375200725E-02      1.422511080550E-02      1.324998963660E-02      1.263827262718E-02      1.220870268482E-02      1.188355619804E-02      1.162396617123E-02      1.140833624169E-02      1.615963142621E-01
     -7.500000000000E-01      6.095341065824E-02      2.481499937160E-02      1.872865233675E-02      1.652647710145E-02      1.537631201418E-02      1.465009763163E-02      1.413657921608E-02      1.374514208475E-02      1.343046861623E-02      1.316737539593E-02      1.726438221700E-01
     -8.000000000000E-01      6.819383029197E-02      2.858017025028E-02      2.159125927233E-02      1.903074248630E-02      1.768437294306E-02      1.682848891594E-02      1.621898442004E-02      1.575110672302E-02      1.537245982807E-02      1.505392182257E-02      1.836316457627E-01
     -8.500000000000E-01      7.576998157250E-02      3.266159698503E-02      2.470067449597E-02      2.174446696948E-02      2.017866740782E-02      1.917625774254E-02      1.845729516044E-02      1.790157183068E-02      1.744894756496E-02      1.706598752853E-02      1.945611551432E-01
     -9.000000000000E-01      8.367556883167E-02      3.706952518651E-02      2.806633111823E-02      2.467434477315E-02      2.286360486768E-02      2.169595256119E-02      2.085248914429E-02      2.019615781414E-02      1.965836512175E-02      1.920096198806E-02      2.054338640387E-01
     -9.500000000000E-01      9.190465792597E-02      4.181432883399E-02      3.169798845439E-02      2.782720252107E-02      2.574349815796E-02      2.438984268657E-02      2.340513042455E-02      2.263397730714E-02      2.199857781905E-02      2.145563530221E-02      2.162514796398E-01
     -1.000000000000E+00      1.004516371468E-01      4.690647385792E-02      3.560572742529E-02      3.121000361928E-02      2.882256218819E-02      2.725991491528E-02      2.611537147269E-02      2.521364932475E-02      2.446691421515E-02      2.382624990001E-02      2.270159669900E-01
     -1.050000000000E+00      1.093111989105E-01      5.235647769261E-02      3.979994471937E-02      3.482985902464E-02      3.210492449613E-02      3.030788642708E-02      2.898297603228E-02      2.793333875521E-02      2.706022689498E-02      2.630858535768E-02      2.377296306170E-01
     -1.100000000000E+00      1.184783535013E-01      5.817487372389E-02      4.429135266162E-02      3.869405237434E-02      3.559465703702E-02      3.353524420899E-02      3.200737331905E-02      3.079083161410E-02      2.977499264983E-02      2.889808506538E-02      2.483952157262E-01
     -1.150000000000E+00      1.279484818861E-01      6.437218534886E-02      4.909098869941E-02      4.281008519143E-02      3.929583698578E-02      3.694331998610E-02      3.518775289724E-02      3.378365502355E-02      3.260746001546E-02      3.159003116383E-02      2.590160498358E-01
     -1.200000000000E+00      1.377174374190E-01      7.095891871210E-02      5.421024193073E-02      4.718575144559E-02      4.321264818922E-02      4.053341357172E-02      3.852321321481E-02      3.690925399611E-02      3.555385458037E-02      3.437977591705E-02      2.695962170815E-01
     -1.250000000000E+00      1.477817260760E-01      7.794559819506E-02      5.966091617148E-02      5.182926092764E-02      4.734954393100E-02      4.430698549754E-02      4.201298346948E-02      4.016524240918E-02      3.861065641881E-02      3.726304042146E-02      2.801408028017E-01
     -1.300000000000E+00      1.581387892456E-01      8.534286785568E-02      6.545534906684E-02      5.674943152656E-02      5.171149286104E-02      4.826594117530E-02      4.565673961290E-02      4.354974614926E-02      4.177496401109E-02      4.023629113078E-02      2.906562192303E-01
     -1.350000000000E+00      1.687874424295E-01      9.316170839407E-02      7.160662871456E-02      6.195598901380E-02      5.630434605070E-02      5.241304292294E-02      4.945504737122E-02      4.706186654172E-02      4.504496750077E-02      4.329721196907E-02      3.011506547948E-01
     -1.400000000000E+00      1.797285521141E-01      1.014138503453E-01      7.812897579428E-02      6.746003492462E-02      6.113538160409E-02      5.675250180362E-02      5.340997824293E-02      5.070230307038E-02      4.842056334878E-02      4.644529797824E-02      3.116347092301E-01
     -1.450000000000E+00      1.909660707499E-01      1.101125052178E-01      8.503839595818E-02      7.327477403385E-02      6.621410917800E-02      6.129082327379E-02      5.752596344468E-02      5.447419110718E-02      5.190415765909E-02      4.968261094998E-02      3.221223057457E-01
     -1.500000000000E+00      2.025086312150E-01      1.192736216685E-01      9.235378103385E-02      7.941665435549E-02      7.155346801897E-02      6.603802427397E-02      6.181098889136E-02      5.838424460887E-02      5.550173714159E-02      5.301476768320E-02      3.326320218908E-01
     -1.550000000000E+00      2.143720439424E-01      1.289180233669E-01      1.000987707504E-01      8.590718396181E-02      7.717164440256E-02      7.100941717399E-02      6.627830171854E-02      6.244435393258E-02      5.922434184873E-02      5.645228309207E-02      3.431891041447E-01
     -1.600000000000E+00      2.265832880996E-01      1.390750469193E-01      1.083049184950E-01      9.277588559818E-02      8.309490071360E-02      7.622829950653E-02      7.094892639714E-02      6.667390549915E-02      6.309018262451E-02      6.001249319342E-02      3.538286026016E-01
     -1.650000000000E+00      2.391870618275E-01      1.497887934323E-01      1.170171490361E-01      1.000652305184E-01      8.936213200507E-02      8.173016767306E-02      7.585553506987E-02      7.110331256966E-02      6.712785020306E-02      6.372247162896E-02      3.646004229454E-01
     -1.700000000000E+00      2.522569694351E-01      1.611291518144E-01      1.263034325706E-01      1.078392055092E-01      9.603256985253E-02      8.756969036375E-02      8.104876799819E-02      7.577974644664E-02      7.138152180709E-02      6.762377755251E-02      3.755778686999E-01
