# M=28, N=14, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 12:51:00
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.063566252368E-01      3.161407326433E-01      2.377826936562E-01      1.893476939809E-01      1.502209704203E-01      1.130371344981E-01      7.505265644275E-02      3.599677941277E-02     -2.982753197900E-03     -4.032756423670E-02      7.602695149669E-01
     -1.650000000000E+00      4.529006370201E-01      2.732471555209E-01      2.073737078765E-01      1.707967910830E-01      1.441083024888E-01      1.208055595484E-01      9.814212210893E-02      7.489554024645E-02      5.072202681648E-02      2.588369876622E-02      7.135627812060E-01
     -1.000000000000E+00      1.841707657187E-01      8.357625996149E-02      6.327111420038E-02      5.548944811985E-02      5.126965302755E-02      4.849488815704E-02      4.644331956870E-02      4.480442194339E-02      4.342261667921E-02      4.221120912907E-02      4.349599886338E-01
     -5.000000000000E-01      5.430741818685E-02      1.836301369685E-02      1.380395809880E-02      1.223966389180E-02      1.144564269465E-02      1.095995949061E-02      1.062845932863E-02      1.038507373217E-02      1.019676845306E-02      1.004519114040E-02      2.217018103306E-01
      5.000000000000E-01      4.614209311986E-02      1.488862109104E-02      1.118971500474E-02      9.931419602724E-03      9.296458185562E-03      8.910940037105E-03      8.650152664128E-03      8.460647155983E-03      8.315699091649E-03      8.200461606735E-03      2.070928322469E-01
      1.650000000000E+00      2.788393394640E-01      1.371566184148E-01      1.051429492170E-01      9.263586144557E-02      8.593906210344E-02      8.163683722281E-02      7.854396158579E-02      7.614871306300E-02      7.419490322953E-02      7.254015961026E-02      5.715014659835E-01
      1.750000000000E+00      3.023098499060E-01      1.525820504217E-01      1.173029477137E-01      1.033009328579E-01      9.575254063108E-02      9.088081630991E-02      8.736459457631E-02      8.463204377319E-02      8.239667263983E-02      8.049920949829E-02      5.975553488618E-01
 #Calculation finished at  2022-05-13 13:07:47
