# M=60, N=30, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-14 05:00:33
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.836148395435E-01      4.079478760444E-01      3.353417359717E-01      2.901869391765E-01      2.520348988240E-01      2.114842250271E-01      1.633600761715E-01      1.071451213685E-01      4.705552464346E-02     -1.128806058266E-02      8.167579549966E-01
     -1.650000000000E+00      4.716111720952E-01      2.912999120433E-01      2.231249065789E-01      1.840943073272E-01      1.538026574009E-01      1.240432297770E-01      9.018483294300E-02      5.002029476769E-02      4.332094250279E-03     -4.362104658174E-02      7.260685553656E-01
     -1.000000000000E+00      1.969186078829E-01      9.161094267600E-02      6.946808035002E-02      6.082434899334E-02      5.609802684986E-02      5.297591910261E-02      5.066267658603E-02      4.881501735243E-02      4.726043920591E-02      4.590237301871E-02      4.492961143826E-01
     -5.000000000000E-01      5.870304867413E-02      2.025690603075E-02      1.523139122264E-02      1.349793665992E-02      1.261524409711E-02      1.207327524185E-02      1.170173883177E-02      1.142764835391E-02      1.121451018387E-02      1.104204980834E-02      2.304405398422E-01
      5.000000000000E-01      4.980455049696E-02      1.634088211497E-02      1.228222679805E-02      1.089640812899E-02      1.019532529864E-02      9.768321484128E-03      9.478386826729E-03      9.266801361288E-03      9.104205051811E-03      8.974286733491E-03      2.154435841530E-01
      1.650000000000E+00      2.980195156025E-01      1.484062600838E-01      1.137160466121E-01      9.991302336752E-02      9.241523668030E-02      8.754065544414E-02      8.400169195163E-02      8.124015827104E-02      7.897578606633E-02      7.705230168157E-02      5.946224967350E-01
      1.750000000000E+00      3.230878513140E-01      1.649198740459E-01      1.267070657775E-01      1.112522264919E-01      1.027936005340E-01      9.726799671228E-02      9.324196401344E-02      9.009188385641E-02      8.750409405068E-02      8.530344934376E-02      6.221163881617E-01



 Calculation finished at  2022-05-16 23:34:00
