# M=6, N=3, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 12:14:25
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      1.739509198671E-01      9.419187733735E-02      7.241915229960E-02      6.361199063558E-02      5.880403957792E-02      5.563876147265E-02      5.329535901006E-02      5.142026224614E-02      4.983701907905E-02      4.844803278363E-02      2.938237733175E-01
     -1.650000000000E+00      1.576107937618E-01      8.231912312525E-02      6.308385155785E-02      5.549859575669E-02      5.141158640903E-02      4.875236171358E-02      4.680688083968E-02      4.526805275201E-02      4.398251810081E-02      4.286531437043E-02      2.802423817579E-01
     -1.000000000000E+00      6.676477932652E-02      2.683346454142E-02      2.026256550515E-02      1.795482312280E-02      1.677734434491E-02      1.605291649921E-02      1.555494773402E-02      1.518631428029E-02      1.489845571655E-02      1.466439559892E-02      1.809738975800E-01
     -5.000000000000E-01      1.995324087101E-02      6.153295691459E-03      4.622100336640E-03      4.105845727668E-03      3.846682669938E-03      3.690367213216E-03      3.585474661857E-03      3.509965825369E-03      3.452821111593E-03      3.407918527787E-03      9.440426040920E-02
      5.000000000000E-01      1.812615899814E-02      5.401279609468E-03      4.056449569044E-03      3.604186339021E-03      3.377458617049E-03      3.240951799631E-03      3.149555043466E-03      3.083935111805E-03      3.034425387272E-03      2.995655527829E-03      9.267600995073E-02
      1.650000000000E+00      1.204113817683E-01      5.341686770402E-02      4.061743631852E-02      3.601452450111E-02      3.366605234275E-02      3.222493943242E-02      3.123749423605E-02      3.050913931067E-02      2.994258698520E-02      2.948379356041E-02      2.706301876559E-01
      1.750000000000E+00      1.313152377778E-01      5.964432339386E-02      4.542792320840E-02      4.027466338703E-02      3.764005719282E-02      3.602058193305E-02      3.490869795596E-02      3.408667786815E-02      3.344565850902E-02      3.292516767156E-02      2.840863227934E-01
 #Calculation finished at  2022-05-13 12:14:49
