# M=36, N=18, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.2, PBC
# start time 2022-01-30 20:00:49
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -2.000000000000E+00      3.667499038458E-01      2.682258875382E-01      2.176252665097E-01      1.858414386838E-01      1.636139458582E-01      1.469963157314E-01      1.339947247434E-01      1.234815175757E-01      1.147654046548E-01      1.073961899368E-01      4.680539977680E-01
     -1.800000000000E+00      2.790209599478E-01      1.849208790355E-01      1.460090186952E-01      1.244227384863E-01      1.102952524166E-01      1.000663644556E-01      9.216314967540E-02      8.578452336864E-02      8.047645269722E-02      7.595929500797E-02      3.976680367274E-01
     -1.600000000000E+00      2.250028931499E-01      1.375610654829E-01      1.070784658344E-01      9.181370965038E-02      8.233791475852E-02      7.562379520899E-02      7.045680432987E-02      6.626501082484E-02      6.274354988943E-02      5.971302518282E-02      3.526168709892E-01
     -1.400000000000E+00      1.780690251716E-01      9.993001013261E-02      7.695386534733E-02      6.652777755703E-02      6.038161151791E-02      5.613194013009E-02      5.289145654577E-02      5.026363944855E-02      4.804536205026E-02      4.612107647823E-02      3.103062617024E-01
     -1.200000000000E+00      1.361824655834E-01      6.971763158714E-02      5.324407367279E-02      4.639908940217E-02      4.254940632453E-02      3.996219471043E-02      3.802476383802E-02      3.647049505493E-02      3.516515977236E-02      3.403365679507E-02      2.682628760685E-01
     -1.000000000000E+00      9.917785522718E-02      4.599387671305E-02      3.490461196299E-02      3.062344226022E-02      2.830923654442E-02      2.680027364978E-02      2.569855638101E-02      2.483274521565E-02      2.411704515523E-02      2.350371759623E-02      2.257714920896E-01
     -8.000000000000E-01      6.724571667456E-02      2.798915835291E-02      2.114154960031E-02      1.864573471751E-02      1.733778444798E-02      1.650906851203E-02      1.592086701231E-02      1.547076770358E-02      1.510755298870E-02      1.480276148521E-02      1.825484439175E-01
     -6.000000000000E-01      4.070089663531E-02      1.499047132770E-02      1.128541287294E-02      9.990425450683E-03      9.326782856559E-03      8.916289516082E-03      8.632490373566E-03      8.421182131192E-03      8.255262538938E-03      8.119674387764E-03      1.384503248222E-01
     -4.000000000000E-01      1.999639408642E-02      6.354341261964E-03      4.773358968819E-03      4.235836200693E-03      3.964337713630E-03      3.799293965976E-03      3.687485632199E-03      3.606104173338E-03      3.543745307656E-03      3.494073313902E-03      9.338206734601E-02
     -2.000000000000E-01      5.871194949561E-03      1.518002009252E-03      1.138934006537E-03      1.011992200883E-03      9.483729619824E-04      9.100833407447E-04      8.844586275765E-04      8.660710889976E-04      8.522068582413E-04      8.413582315248E-04      4.726092880451E-02
      0.000000000000E+00      7.993605777301E-15     -7.993605777301E-15     -5.773159728051E-15     -4.884981308351E-15     -4.884981308351E-15     -4.884981308351E-15     -4.440892098501E-15     -4.884981308351E-15     -4.440892098501E-15     -4.440892098501E-15      3.463895836830E-14
      2.000000000000E-01      5.480504502235E-03      1.394629279167E-03      1.046336984549E-03      9.297717830736E-04      8.713740651540E-04      8.362437612579E-04      8.127472323971E-04      7.958986327821E-04      7.832050395029E-04      7.732814953716E-04      4.598850435246E-02
      4.000000000000E-01      1.753734741679E-02      5.364058464835E-03      4.028458173245E-03      3.576539898465E-03      3.348934054990E-03      3.211076020459E-03      3.118095650298E-03      3.050762777911E-03      2.999462315685E-03      2.958852545009E-03      8.860463849791E-02
      6.000000000000E-01      3.368081455534E-02      1.163034038910E-02      8.748315677879E-03      7.757011910252E-03      7.253840913874E-03      6.946144601184E-03      6.736223438739E-03      6.582204033109E-03      6.463149568418E-03      6.367428399473E-03      1.283268597313E-01
      8.000000000000E-01      5.269436380634E-02      1.996839328244E-02      1.505206723000E-02      1.332582125041E-02      1.244109139145E-02      1.189403288919E-02      1.151600080767E-02      1.123470120613E-02      1.101398583847E-02      1.083377155347E-02      1.655449676533E-01
      1.000000000000E+00      7.383220155830E-02      3.020047340610E-02      2.282488412461E-02      2.017272063288E-02      1.879832457721E-02      1.793852504114E-02      1.733668536568E-02      1.688273319898E-02      1.652162439530E-02      1.622277424138E-02      2.005839827550E-01
      1.200000000000E+00      9.660431622557E-02      4.219241195416E-02      3.198776623907E-02      2.822084865357E-02      2.624501362666E-02      2.499460062896E-02      2.410871133748E-02      2.343237493418E-02      2.288807097672E-02      2.243271318004E-02      2.337214714458E-01
      1.400000000000E+00      1.206824925844E-01      5.585179490983E-02      4.249638787810E-02      3.742635946980E-02      3.473255367830E-02      3.300887650479E-02      3.177448526920E-02      3.082245673664E-02      3.004920912021E-02      2.939713303754E-02      2.652007056697E-01
      1.600000000000E+00      1.458518744344E-01      7.112816149247E-02      5.434202549607E-02      4.777967485118E-02      4.424564943905E-02      4.196103729794E-02      4.030986063376E-02      3.902608842178E-02      3.797636230707E-02      3.708641741105E-02      2.952409793625E-01
      1.800000000000E+00      1.719836269080E-01      8.801491576945E-02      6.755441731146E-02      5.930843487398E-02      5.480521689628E-02      5.186659031577E-02      4.972673680656E-02      4.805309897461E-02      4.667854961516E-02      4.550981351976E-02      3.240453785028E-01
      2.000000000000E+00      1.990167620797E-01      1.065514181081E-01      8.220551293890E-02      7.208149208240E-02      6.647238513294E-02      6.278071415435E-02      6.007669908016E-02      5.795343573294E-02      5.620559705985E-02      5.471818982130E-02      3.518047787892E-01


 Calculation finished at  2022-02-09 18:07:09
