# M=22, N=11, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-14 22:39:09
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      6.921910515237E-01      4.097807726492E-01      2.964773735671E-01      2.262952757109E-01      1.712703401148E-01      1.233186046710E-01      8.013726716077E-02      4.125137624773E-02      6.595067028676E-03     -2.397265088803E-02      1.092581315019E+00
     -1.650000000000E+00      6.141954697666E-01      3.535853004829E-01      2.612248205005E-01      2.093207120985E-01      1.709495087272E-01      1.381309064123E-01      1.081664217959E-01      8.021216246823E-02      5.412408944848E-02      2.997513909446E-02      1.018941231769E+00
     -1.000000000000E+00      2.408327035656E-01      1.062317141164E-01      8.020527429790E-02      7.032002305791E-02      6.494761163175E-02      6.139158901827E-02      5.873706544586E-02      5.659106995278E-02      5.475702036189E-02      5.312567553318E-02      6.013134103397E-01
     -5.000000000000E-01      7.003276393084E-02      2.321818835371E-02      1.744842576178E-02      1.547478061003E-02      1.447431716481E-02      1.386329323077E-02      1.344695397913E-02      1.314183125829E-02      1.290619097681E-02      1.271684753336E-02      3.022972566934E-01
      5.000000000000E-01      5.934047333324E-02      1.887665398385E-02      1.418686614673E-02      1.259512571219E-02      1.179323775104E-02      1.130739069647E-02      1.097956041541E-02      1.074202162790E-02      1.056091173847E-02      1.041741823925E-02      2.808218730075E-01
      1.650000000000E+00      3.586278890495E-01      1.752946913618E-01      1.346887164550E-01      1.189772543054E-01      1.106597036733E-01      1.053777475988E-01      1.016210921852E-01      9.873824867799E-02      9.640332214432E-02      9.443541492633E-02      7.710751716740E-01
      1.750000000000E+00      3.883232412584E-01      1.950523540351E-01      1.503820121175E-01      1.328189331672E-01      1.234635933732E-01      1.174986160432E-01      1.132403772087E-01      1.099609040012E-01      1.072958862819E-01      1.050431240940E-01      8.050974259366E-01
 #Calculation finished at  2022-05-15 01:59:24
