# M=20, N=10, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-13 12:23:09
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      4.876175682341E-01      2.988744753849E-01      2.243898702868E-01      1.805025592103E-01      1.472278611666E-01      1.179223484032E-01      9.005973480654E-02      6.280503496311E-02      3.614752103723E-02      1.044778910946E-02      7.477427155423E-01
     -1.650000000000E+00      4.343439550074E-01      2.569293447836E-01      1.943668652925E-01      1.607562284831E-01      1.370992809533E-01      1.173925362070E-01      9.928646095554E-02      8.176125966433E-02      6.440417971922E-02      4.713351939901E-02      7.000329759489E-01
     -1.000000000000E+00      1.735522264339E-01      7.728904677722E-02      5.845153774263E-02      5.132144490408E-02      4.747920358841E-02      4.496509345912E-02      4.311386067573E-02      4.163972803128E-02      4.039969311646E-02      3.931422684073E-02      4.218102675115E-01
     -5.000000000000E-01      5.085089633080E-02      1.694741998538E-02      1.273763342949E-02      1.129759181748E-02      1.056794299760E-02      1.012260118013E-02      9.819408748811E-03      9.597439748240E-03      9.426231231883E-03      9.288859379110E-03      2.140709061542E-01
      5.000000000000E-01      4.328568282106E-02      1.380467766674E-02      1.037428394018E-02      9.209800564634E-03      8.622984179632E-03      8.267311828348E-03      8.027213731618E-03      7.853159533806E-03      7.720384089545E-03      7.615129017022E-03      1.999111127821E-01
      1.650000000000E+00      2.634396829461E-01      1.283214215624E-01      9.836599298920E-02      8.680393575025E-02      8.067116911413E-02      7.676453979576E-02      7.397780939989E-02      7.183419500231E-02      7.009519275569E-02      6.862836556457E-02      5.519064794453E-01
      1.750000000000E+00      2.856622344115E-01      1.428470059486E-01      1.098199140954E-01      9.687848489247E-02      8.997240984129E-02      8.555460676146E-02      8.239094204497E-02      7.994846652032E-02      7.796047965910E-02      7.627888619831E-02      5.768978569743E-01


 Calculation finished at  2022-05-13 12:26:30
