# M=12, N=6, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-17 16:14:14
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      4.983621905156E-01      2.804976414957E-01      2.086874503216E-01      1.703773302847E-01      1.434986393740E-01      1.216338591122E-01      1.025366499598E-01      8.534294019800E-02      6.969795179803E-02      5.543584516186E-02      8.895163986137E-01
     -1.650000000000E+00      4.387668568267E-01      2.391562743891E-01      1.791816347984E-01      1.494345293914E-01      1.295434543064E-01      1.137618083442E-01      1.000606872890E-01      8.762532449170E-02      7.610861202748E-02      6.536098648746E-02      8.196763913620E-01
     -1.000000000000E+00      1.667904344723E-01      7.028910728123E-02      5.301535754766E-02      4.664591409408E-02      4.325433977925E-02      4.105714280882E-02      3.945356852824E-02      3.818598331287E-02      3.712562280838E-02      3.620101739760E-02      4.569145398650E-01
     -5.000000000000E-01      4.807348197514E-02      1.541541836084E-02      1.158101095091E-02      1.027710193737E-02      9.618484674619E-03      9.218034727711E-03      8.946642748500E-03      8.748975654463E-03      8.597366899560E-03      8.476446181918E-03      2.265139228946E-01
      5.000000000000E-01      4.110594180180E-02      1.272898425869E-02      9.564182820742E-03      8.494176253371E-03      7.956319799848E-03      7.631360149291E-03      7.412843008063E-03      7.255144893598E-03      7.135454067006E-03      7.041097343583E-03      2.108636406761E-01
      1.650000000000E+00      2.538132287007E-01      1.206187843198E-01      9.246589447799E-02      8.186368116868E-02      7.635194508936E-02      7.291027052762E-02      7.050403073123E-02      6.868825805017E-02      6.724042379174E-02      6.603694646339E-02      5.842339075529E-01
      1.750000000000E+00      2.752384366716E-01      1.344204081281E-01      1.033595535292E-01      9.150413248315E-02      8.531552773962E-02      8.144068148497E-02      7.872385553115E-02      7.666734987251E-02      7.502222570324E-02      7.365024864818E-02      6.102469755270E-01
 #Calculation finished at  2022-05-17 16:17:00
