# M=20, N=10, Vp=0.0, t=1.0, n=1, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 16:46:39
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -1.750000000000E+00      2.582139870369E-01      1.657391672713E-01      1.300977885088E-01      1.112585018840E-01      9.923722797340E-02      9.060368051350E-02      8.391961778009E-02      7.848801819520E-02      7.392964737318E-02      7.001753888473E-02      3.812372440483E-01
     -1.650000000000E+00      2.312936498449E-01      1.422846013181E-01      1.109087478320E-01      9.521939321383E-02      8.549488869721E-02      7.859360046080E-02      7.326208299084E-02      6.891632392651E-02      6.524839714936E-02      6.207865541986E-02      3.586372721168E-01
     -1.000000000000E+00      9.506961623894E-02      4.320134366764E-02      3.276133722372E-02      2.880764334828E-02      2.669614964674E-02      2.533367887762E-02      2.434825585586E-02      2.358006533358E-02      2.294916993148E-02      2.241114854289E-02      2.214775335613E-01
     -5.000000000000E-01      2.819189004703E-02      9.520374720589E-03      7.157384152047E-03      6.348068779390E-03      5.937971309129E-03      5.687679708819E-03      5.517308222271E-03      5.392619249950E-03      5.296494005627E-03      5.219422071912E-03      1.136184040845E-01
      5.000000000000E-01      2.412287729153E-02      7.758658890062E-03      5.830339759222E-03      5.175053697629E-03      4.844530246711E-03      4.643964025844E-03      4.508383005897E-03      4.409941742427E-03      4.334717517830E-03      4.274975495068E-03      1.067886502601E-01
      1.650000000000E+00      1.480625304132E-01      7.195648366118E-02      5.498719104707E-02      4.843016399904E-02      4.493148889972E-02      4.268750668701E-02      4.107677911108E-02      3.983151960389E-02      3.881768705018E-02      3.796076247020E-02      2.988287490376E-01
      1.750000000000E+00      1.609236214723E-01      8.012839639848E-02      6.136822341149E-02      5.401689652741E-02      5.007026594424E-02      4.752758488050E-02      4.569511229015E-02      4.427337985638E-02      4.311240718968E-02      4.212878228332E-02      3.131786604950E-01
 #Calculation finished at  2022-05-06 16:46:42
