# M=24, N=12, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:15:29
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      7.058371114037E-01      4.206478704349E-01      3.041467170342E-01      2.307665113139E-01      1.722803902959E-01      1.206062699813E-01      7.367223843167E-02      3.128409921495E-02     -6.436000606488E-03     -3.956873914136E-02      1.105322166482E+00
     -1.650000000000E+00      6.273266868619E-01      3.636974978281E-01      2.688087003543E-01      2.148331246233E-01      1.744581253433E-01      1.395117980500E-01      1.072630252990E-01      7.694145524985E-02      4.852279414548E-02      2.219160315470E-02      1.031375836763E+00
     -1.000000000000E+00      2.475266340563E-01      1.098249617809E-01      8.294382606237E-02      7.269968229729E-02      6.712298197191E-02      6.342669422789E-02      6.066408321623E-02      5.842833415826E-02      5.651585394401E-02      5.481342729775E-02      6.114562284522E-01
     -5.000000000000E-01      7.212978040512E-02      2.401565739001E-02      1.804866483705E-02      1.600593979909E-02      1.497000366155E-02      1.433697621087E-02      1.390537200829E-02      1.358883809131E-02      1.334419795983E-02      1.314746467339E-02      3.080086800903E-01
      5.000000000000E-01      6.109905531987E-02      1.950087523547E-02      1.465632168371E-02      1.301115715953E-02      1.218206744344E-02      1.167951920951E-02      1.134023984031E-02      1.109425462384E-02      1.090657625726E-02      1.075776740373E-02      2.862419375268E-01
      1.650000000000E+00      3.686436290369E-01      1.806747438151E-01      1.388212921415E-01      1.225754714549E-01      1.139521851763E-01      1.084623550427E-01      1.045485103060E-01      1.015385372744E-01      9.909618745076E-02      9.703480653920E-02      7.858900273813E-01
      1.750000000000E+00      3.991565010808E-01      2.010043513087E-01      1.549671836700E-01      1.368053659354E-01      1.271029884698E-01      1.209001906385E-01      1.164611930615E-01      1.130350693952E-01      1.102459570449E-01      1.078852225784E-01      8.206285571355E-01
 #Calculation finished at  2022-05-06 18:26:14
