# M=20, N=10, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 16:47:14
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      6.747580638530E-01      3.962131932189E-01      2.870745191294E-01      2.207581236921E-01      1.696537561381E-01      1.257317126138E-01      8.652277938742E-02      5.132973303984E-02      1.992948110543E-02     -7.875368719727E-03      1.080314516230E+00
     -1.650000000000E+00      5.975138888765E-01      3.410670280485E-01      2.519879246281E-01      2.026562070420E-01      1.666602634148E-01      1.362488936076E-01      1.087749080322E-01      8.334251290815E-02      5.971223031352E-02      3.786472533397E-02      1.005059476181E+00
     -1.000000000000E+00      2.326075269834E-01      1.019069386153E-01      7.691544479272E-02      6.746043550032E-02      6.233259060741E-02      5.894475144353E-02      5.642022719577E-02      5.438260522729E-02      5.264365930981E-02      5.109885675786E-02      5.883016452073E-01
     -5.000000000000E-01      6.748804607503E-02      2.226448933513E-02      1.673074916826E-02      1.483951893180E-02      1.388130890174E-02      1.329644746149E-02      1.289822240873E-02      1.260661269737E-02      1.238160779046E-02      1.220097961641E-02      2.949731576474E-01
      5.000000000000E-01      5.721151198973E-02      1.812945870873E-02      1.362493649143E-02      1.209700176507E-02      1.132754865177E-02      1.086157596073E-02      1.054733823457E-02      1.031980113781E-02      1.014644753752E-02      1.000921239556E-02      2.739128668054E-01
      1.650000000000E+00      3.464811535110E-01      1.688052255415E-01      1.296956333376E-01      1.146187967401E-01      1.066609369016E-01      1.016216265731E-01      9.804735344168E-02      9.531140340763E-02      9.310030117287E-02      9.124004290182E-02      7.525595792829E-01
      1.750000000000E+00      3.751950537665E-01      1.878691101533E-01      1.448367036999E-01      1.279841577843E-01      1.190366277681E-01      1.133488977735E-01      1.093001674015E-01      1.061900434610E-01      1.036680691537E-01      1.015397404349E-01      7.857163416096E-01
 #Calculation finished at  2022-05-06 16:47:28
