# M=26, N=13, Vp=0.0, t=1.0, n=2, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:17:21
#                       V#                 S₁(n=2)#                 S₂(n=2)                 S₃(n=2)#                 S₄(n=2)#                 S₅(n=2)#                 S₆(n=2)#                 S₇(n=2)#                 S₈(n=2)#                 S₉(n=2)#                S₁₀(n=2)#               S₀₋₅(n=2)
     -1.750000000000E+00      5.030663139204E-01      3.130411899457E-01      2.353120431248E-01      1.877160015397E-01      1.498114637724E-01      1.144262895023E-01      7.886609573390E-02      4.267357615849E-02      6.642860537847E-03     -2.800002428554E-02      7.574206271382E-01
     -1.650000000000E+00      4.496123369158E-01      2.702862019040E-01      2.049602033833E-01      1.689027473075E-01      1.427892755162E-01      1.202334131902E-01      9.858984620013E-02      7.668813727839E-02      5.415729415840E-02      3.115044307991E-02      7.108621973086E-01
     -1.000000000000E+00      1.821912663293E-01      8.237914027722E-02      6.235161848304E-02      5.469527765793E-02      5.054843352253E-02      4.782399832806E-02      4.581096675071E-02      4.420357268783E-02      4.284866737709E-02      4.166095060443E-02      4.325869349597E-01
     -5.000000000000E-01      5.365195208723E-02      1.809014753812E-02      1.359837354937E-02      1.205814169484E-02      1.127662576448E-02      1.079880684847E-02      1.047284590402E-02      1.023366718240E-02      1.004873281374E-02      9.899966223818E-03      2.203062269093E-01
      5.000000000000E-01      4.559905040281E-02      1.467965337238E-02      1.103250941684E-02      9.792370789592E-03      9.166753730537E-03      8.787047638823E-03      8.530304474332E-03      8.343831580619E-03      8.201282665107E-03      8.088020935408E-03      2.057725041170E-01
      1.650000000000E+00      2.759336973236E-01      1.354766080768E-01      1.038566775742E-01      9.153337417166E-02      8.494754155887E-02      8.072370356260E-02      7.769172282650E-02      7.534659151004E-02      7.343553701765E-02      7.181811776543E-02      5.678782863385E-01
      1.750000000000E+00      2.991667609169E-01      1.507333475877E-01      1.158852776856E-01      1.020895351581E-01      9.466752299794E-02      8.988570995494E-02      8.643953049349E-02      8.376462564920E-02      8.157833383460E-02      7.972356370257E-02      5.937270457336E-01


 Calculation finished at  2022-05-06 18:28:31
