# M=20, N=10, Vp=0.0, t=1.0, n=5, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 16:48:22
#                       V#                 S₁(n=5)#                 S₂(n=5)                 S₃(n=5)#                 S₄(n=5)#                 S₅(n=5)#                 S₆(n=5)#                 S₇(n=5)#                 S₈(n=5)#                 S₉(n=5)#                S₁₀(n=5)#               S₀₋₅(n=5)
     -1.750000000000E+00      8.481504019450E-01      4.753962761457E-01      3.340417218510E-01      2.479450970487E-01      1.826297917269E-01      1.286045037842E-01      8.260694815000E-02      4.307033876584E-02      8.910665581006E-03     -2.076460717360E-02      1.465514692585E+00
     -1.650000000000E+00      7.452973625840E-01      4.097810794824E-01      2.966619144737E-01      2.332152503373E-01      1.865424197993E-01      1.475812775409E-01      1.133908874815E-01      8.289914384855E-02      5.560966054465E-02      3.118041150449E-02      1.343547687281E+00
     -1.000000000000E+00      2.820759910730E-01      1.217672071606E-01      9.175561926967E-02      8.040619799683E-02      7.421933257215E-02      7.010097814770E-02      6.700421887594E-02      6.447986207272E-02      6.230355675862E-02      6.035100273701E-02      7.465103604273E-01
     -5.000000000000E-01      8.110688680374E-02      2.652540698354E-02      1.992959806334E-02      1.767701705577E-02      1.653577378472E-02      1.583918015200E-02      1.536483523963E-02      1.501742259327E-02      1.474928387119E-02      1.453394214084E-02      3.678211953134E-01
      5.000000000000E-01      6.850790383132E-02      2.159301617020E-02      1.622845959960E-02      1.440992478640E-02      1.349462537018E-02      1.294071237468E-02      1.256747906808E-02      1.229747902935E-02      1.209198906165E-02      1.192949629596E-02      3.396158960664E-01
      1.650000000000E+00      4.135033762285E-01      2.013307123914E-01      1.549748380433E-01      1.371273008955E-01      1.277485627253E-01      1.218420989513E-01      1.176759020361E-01      1.145027931103E-01      1.119489723179E-01      1.098069319115E-01      9.338894710977E-01
      1.750000000000E+00      4.473392812908E-01      2.240257869241E-01      1.731062597163E-01      1.531811035866E-01      1.426513870510E-01      1.359978140968E-01      1.312897605921E-01      1.276922857041E-01      1.247874971706E-01      1.223434425884E-01      9.745245054337E-01


 Calculation finished at  2022-05-06 16:49:15
