# M=18, N=9, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:17:01
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      6.509952935611E-01      3.788379654725E-01      2.752186973135E-01      2.136563165481E-01      1.670733488170E-01      1.275792499059E-01      9.261636324150E-02      6.133512321443E-02      3.339853741544E-02      8.567399355401E-03      1.055446118865E+00
     -1.650000000000E+00      5.753005215799E-01      3.252278832072E-01      2.404781005996E-01      1.943824268424E-01      1.612432177832E-01      1.335981773035E-01      1.088783502743E-01      8.616190808102E-02      6.514170080364E-02      4.572962412668E-02      9.813877262651E-01
     -1.000000000000E+00      2.222802937662E-01      9.661104753915E-02      7.289531287380E-02      6.396459134455E-02      5.913415830397E-02      5.595100960217E-02      5.358505426723E-02      5.168002326001E-02      5.005782079896E-02      4.861958982589E-02      5.710134723608E-01
     -5.000000000000E-01      6.433928532809E-02      2.110437460084E-02      1.585795903611E-02      1.406672605274E-02      1.315969795479E-02      1.260646654169E-02      1.223009436503E-02      1.195474982465E-02      1.174251710745E-02      1.157233187583E-02      2.854760008173E-01
      5.000000000000E-01      5.458442124763E-02      1.721935544263E-02      1.294051326490E-02      1.149011097613E-02      1.076000242241E-02      1.031808656632E-02      1.002026060445E-02      9.804765709945E-03      9.640722493966E-03      9.510975766308E-03      2.650246390980E-01
      1.650000000000E+00      3.314590046590E-01      1.608338465078E-01      1.235519966253E-01      1.092415720770E-01      1.017133570144E-01      9.696114923716E-02      9.360103088134E-02      9.103659365654E-02      8.896953883176E-02      8.723427711891E-02      7.287626468482E-01
      1.750000000000E+00      3.589716985818E-01      1.790401122802E-01      1.380064721002E-01      1.220112519643E-01      1.135501203907E-01      1.081898457490E-01      1.043867027176E-01      1.014740505939E-01      9.911836003174E-02      9.713451408727E-02      7.608454864962E-01
 #Calculation finished at  2022-05-06 18:17:05
