# M=16, N=8, Vp=0.0, t=1.0, n=1, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:12:15
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -1.750000000000E+00      2.532137644798E-01      1.609243267273E-01      1.261351093356E-01      1.080781124123E-01      9.666916401210E-02      8.849590386620E-02      8.215565594060E-02      7.698230778459E-02      7.261987100278E-02      6.885823533429E-02      3.777187984014E-01
     -1.650000000000E+00      2.265312823507E-01      1.378615575141E-01      1.073217981613E-01      9.234016244138E-02      8.315271443825E-02      7.665513876628E-02      7.163082580915E-02      6.752217846015E-02      6.403941549254E-02      6.101562024336E-02      3.551220476746E-01
     -1.000000000000E+00      9.252460683204E-02      4.154931854874E-02      3.149490893259E-02      2.772423212723E-02      2.572269973052E-02      2.443842753758E-02      2.351456490717E-02      2.279789817601E-02      2.221181281039E-02      2.171374782616E-02      2.186827843003E-01
     -5.000000000000E-01      2.737422803769E-02      9.156326909993E-03      6.883061432440E-03      6.106235607349E-03      5.713163390777E-03      5.473685770134E-03      5.311016896298E-03      5.192247957850E-03      5.100924578584E-03      5.027905469317E-03      1.120944361580E-01
      5.000000000000E-01      2.350291946831E-02      7.497039481501E-03      5.633371106233E-03      5.001029925188E-03      4.682387896948E-03      4.489267208686E-03      4.358911579157E-03      4.264425251716E-03      4.192360356877E-03      4.135245865190E-03      1.055400463852E-01
      1.650000000000E+00      1.454624821414E-01      7.004851332698E-02      5.350155353341E-02      4.716958357888E-02      4.381241143770E-02      4.167114230259E-02      4.014210034468E-02      3.896546760011E-02      3.801126144829E-02      3.720725950036E-02      2.964374475429E-01
      1.750000000000E+00      1.581757351300E-01      7.804459446260E-02      5.973830204094E-02      5.263933283497E-02      4.885426549223E-02      4.642974112726E-02      4.469148800507E-02      4.334890044069E-02      4.225654647220E-02      4.133360648476E-02      3.107392958391E-01
 #Calculation finished at  2022-05-06 18:12:17
