# M=28, N=14, Vp=0.0, t=1.0, n=7, Vstart=0.5, Vstop=1.75, Vstep=13091366336246464223, PBC
# start time 2022-06-12 20:07:41
#                       V                 S₁(n=7)                 S₂(n=7)                 S₃(n=7)                 S₄(n=7)                 S₅(n=7)                 S₆(n=7)                 S₇(n=7)                 S₈(n=7)                 S₉(n=7)                S₁₀(n=7)               S₀₋₅(n=7)                 S∞(n=7)
      5.000000000000E-01      9.586490685051E-02      3.044975505908E-02      2.288784969306E-02      2.032116270117E-02      1.902852607770E-02      1.824566522111E-02      1.771767074983E-02      1.733529450576E-02      1.704391243949E-02      1.681317789609E-02      4.683950439213E-01     -5.377990809629E-03
      1.650000000000E+00      5.735885689532E-01      2.820283566751E-01      2.175431173943E-01      1.924627906979E-01      1.792122826641E-01      1.708354304389E-01      1.649051043415E-01      1.603719641289E-01      1.567108334421E-01      1.536302276793E-01      1.284436359837E+00      1.487555030418E-02
