# M=24, N=12, Vp=0.0, t=1.0, n=4, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:26:31
#                       V#                 S₁(n=4)#                 S₂(n=4)                 S₃(n=4)#                 S₄(n=4)#                 S₅(n=4)#                 S₆(n=4)#                 S₇(n=4)#                 S₈(n=4)#                 S₉(n=4)#                S₁₀(n=4)#               S₀₋₅(n=4)
     -1.750000000000E+00      8.700839118445E-01      5.010304745164E-01      3.518609856228E-01      2.574750577059E-01      1.835910171269E-01      1.209745266006E-01      6.682247101500E-02      1.991361979398E-02     -2.071294521415E-02     -5.599816705407E-02      1.413210072717E+00
     -1.650000000000E+00      7.697581505593E-01      4.341518652291E-01      3.148650546656E-01      2.460071540187E-01      1.941263346659E-01      1.498475056084E-01      1.102547734595E-01      7.445495810853E-02      4.213794261717E-02      1.308284542521E-02      1.310948345199E+00
     -1.000000000000E+00      2.977645410154E-01      1.306006842824E-01      9.849509938426E-02      8.626327455608E-02      7.957362765651E-02      7.510900994553E-02      7.174413475380E-02      6.899575213105E-02      6.662226200642E-02      6.448958920580E-02      7.577105920892E-01
     -5.000000000000E-01      8.615172104606E-02      2.848277209509E-02      2.140314296261E-02      1.898114619909E-02      1.775296751405E-02      1.700249039260E-02      1.649079531450E-02      1.611548584549E-02      1.582536365961E-02      1.559198517508E-02      3.777790867403E-01
      5.000000000000E-01      7.276675356630E-02      2.312240427651E-02      1.737872742637E-02      1.542935087860E-02      1.444745218400E-02      1.385266400741E-02      1.345142127962E-02      1.316076668703E-02      1.293922161807E-02      1.276374244775E-02      3.495883667029E-01
      1.650000000000E+00      4.378103525213E-01      2.145165255850E-01      1.650972669499E-01      1.459371123957E-01      1.358046898895E-01      1.293832801209E-01      1.248254629803E-01      1.213336744428E-01      1.185088960617E-01      1.161296670474E-01      9.584857602948E-01
      1.750000000000E+00      4.736412282557E-01      2.386139069940E-01      1.843366866885E-01      1.629397872546E-01      1.515531233481E-01      1.443087288698E-01      1.391484882440E-01      1.351814487380E-01      1.319616368376E-01      1.292415641358E-01      1.000258666459E+00


 Calculation finished at  2022-05-06 19:01:20
