# M=32, N=16, Vp=0.0, t=1.0, n=3, Vstart=-0.5, Vstop=0.5, Vstep=1690715795901900207, PBC
# start time 2022-06-12 01:11:12
#                       V                 S₁(n=3)                 S₂(n=3)                 S₃(n=3)                 S₄(n=3)                 S₅(n=3)                 S₆(n=3)                 S₇(n=3)                 S₈(n=3)                 S₉(n=3)                S₁₀(n=3)               S₀₋₅(n=3)                 S∞(n=3)
     -5.000000000000E-01      7.777848303117E-02      2.621953742866E-02      1.970810588174E-02      1.747351620923E-02      1.633873150727E-02      1.564416124581E-02      1.516968853977E-02      1.482097450373E-02      1.455084964190E-02      1.433310865983E-02      3.224399654020E-01     -1.288970150092E-02
      5.000000000000E-01      6.585696843029E-02      2.122398765720E-02      1.595222656856E-02      1.415890595056E-02      1.325412663819E-02      1.270491678516E-02      1.233349798588E-02      1.206367845295E-02      1.185736236610E-02      1.169338545546E-02      3.000877024301E-01     -3.499326872413E-03
#
#
#Calculation finished at  2022-06-13 08:17:58
